,Dcy,Dcx
0,0.05964185611043906,0.09966166049910304
1,0.06567514289866239,0.09924511317504899
2,0.07166125319943605,0.09882834499074025
3,0.07760164318865094,0.09841135546821873
4,0.08349770036247832,0.09799414412792022
5,0.08935074801756647,0.097576710488667
6,0.09516204936301423,0.09715905406765996
7,0.10093281130044376,0.09674117438047095
8,0.1066641879043353,0.09632307094103516
9,0.11235728363116783,0.09590474326164314
10,0.11801315628275239,0.09548619085293296
11,0.12363281974638352,0.09506741322388246
12,0.12921724653201455,0.09464840988180107
13,0.13476737012453505,0.09422918033232201
14,0.1402840871673579,0.09380972407939418
15,0.1457682594918696,0.09339004062527397
16,0.1512207160058384,0.0929701294705172
17,0.1566422544525789,0.09254999011458426
18,0.16203364305152457,0.09212962205333293
19,0.16739562202983635,0.09170902478282966
20,0.17272890505376667,0.09128819779674531
21,0.1780341805676851,0.09086714058700851
22,0.18331211304794498,0.09044585264379747
23,0.18856334417812176,0.09002433345553125
24,0.19378849395156858,0.0896025825088613
25,0.19898816170671105,0.08918059928866288
26,0.20416292710003284,0.08875838327802625
27,0.20931335102127757,0.08833593395824801
28,0.21443997645500937,0.08791325080882247
29,0.21954332929232928,0.0874903333074325
30,0.22462391909622945,0.08706718092994094
31,0.2296822398237852,0.08664379315038145
32,0.2347187705081264,0.08622016944094966
33,0.23973397590289494,0.08579630927199397
34,0.2447283070916851,0.08537221211200649
35,0.24970220206476623,0.0849478774276139
36,0.2546560862652144,0.08452330468356814
37,0.25959037310641586,0.08409849334273717
38,0.26450546446275813,0.08367344286609561
39,0.2694017511351941,0.08324815271271532
40,0.27427961329323325,0.0828226223397559
41,0.2791394208948106,0.08239685120245523
42,0.28398153408537224,0.08197083875411977
43,0.2888063035774273,0.08154458444611501
44,0.2936140710117249,0.08111808772785563
45,0.2984051693011356,0.08069134804679591
46,0.30317992295824403,0.08026436484841963
47,0.3079386484075877,0.07983713757623044
48,0.31268165428341876,0.07940966567174162
49,0.3174092417138028,0.07898194857446626
50,0.32212170459181766,0.07855398572190704
51,0.32681932983456613,0.07812577654954608
52,0.3315023976306673,0.07769732049083479
53,0.33617118167685195,0.0772686169771834
54,0.3408259494042466,0.07683966543795075
55,0.34546696219489403,0.07641046530043384
56,0.3500944755890242,0.07598101598985724
57,0.3547087394835584,0.07555131692936255
58,0.3593099983222994,0.07512136753999783
59,0.3638984912782336,0.07469116724070683
60,0.36847445242834553,0.0742607154483182
61,0.37303811092132133,0.07383001157753467
62,0.37758969113849533,0.07339905504092208
63,0.3821294128483745,0.07296784524889846
64,0.3866574913550548,0.07253638160972287
65,0.3911741376408265,0.07210466352948439
66,0.39567955850324826,0.0716726904120907
67,0.4001739566869548,0.07124046165925707
68,0.4046575310104462,0.07080797667049467
69,0.4091304764880964,0.0703752348430994
70,0.4135929844476031,0.06994223557214024
71,0.41804524264308957,0.0695089782504477
72,0.4224874353640577,0.0690754622686021
73,0.4269197435403832,0.0686416870149219
74,0.43134234484352796,0.06820765187545179
75,0.4357554137841434,0.0677733562339508
76,0.4401591218062222,0.06733879947188037
77,0.4445536373779535,0.06690398096839223
78,0.4489391260794229,0.0664689001003162
79,0.45331575068729846,0.0660335562421481
80,0.45768367125662973,0.0655979487660373
81,0.4620430451998867,0.06516207704177437
82,0.4663940273633527,0.06472594043677862
83,0.47073677010098747,0.06428953831608546
84,0.4750714233458631,0.06385287004233381
85,0.4793981346792782,0.06341593497575335
86,0.4837170493976417,0.06297873247415171
87,0.4880283105772237,0.06254126189290146
88,0.49233205913685646,0.06210352258492721
89,0.4966284338986726,0.061665513900692505
90,0.5009175716469568,0.06122723518818657
91,0.5051996071851897,0.06078868579291109
92,0.509474673391355,0.06034986505786686
93,0.5137429012715793,0.05991077232354029
94,0.5180044200121703,0.05947140692788985
95,0.5222593570301188,0.059031768206332436
96,0.5265078380221198,0.05859185549172968
97,0.5307499870121765,0.058151668114374014
98,0.5349859263978379,0.057711205401974816
99,0.5392157769951247,0.05727046667964436
100,0.5434396580821932,0.056829451269883674
101,0.5476576874417868,0.056388158492568355
102,0.5518699814025194,0.05594658766493416
103,0.5560766548790377,0.05550473810156268
104,0.5602778214111016,0.05506260911436677
105,0.5644735932016277,0.05462020001257588
106,0.5686640811537306,0.054177510102721385
107,0.5728493949068028,0.053734538688621714
108,0.5770296428716681,0.05329128507136742
109,0.5812049322648426,0.052847748549306094
110,0.5853753691419369,0.052403928418027323
111,0.589541058430233,0.05195982397066825
112,0.5937021039604625,0.05151543449632011
113,0.5978586084978216,0.051070759283088976
114,0.6020106737722445,0.05062579761514499
115,0.6061584005079691,0.05018054877417872
116,0.6103018884524165,0.049735012038414315
117,0.6144412364044117,0.049289186684208675
118,0.6185765422417699,0.04884307198435638
119,0.6227079029482714,0.048396667208924174
120,0.6268354146400479,0.04794997162506316
121,0.6309591725914031,0.04750298449699223
122,0.635079271260087,0.04705570508598177
123,0.6391958043120453,0.046608132650336885
124,0.6433088646456636,0.046160266445380675
125,0.647418544415526,0.04571210572343739
126,0.6515249350557051,0.04526364973381544
127,0.6556281273026018,0.04481489772279024
128,0.6597282112173531,0.04436584893358698
129,0.6638252762078236,0.04391650260636324
130,0.6679194110501963,0.043466857978191574
131,0.6720107039101806,0.04301691428304176
132,0.6760992423638498,0.04256667075176313
133,0.6801851134181252,0.04211612661206663
134,0.6842684035309197,0.0416652810885069
135,0.6883491986309558,0.04121413340246397
136,0.6924275841372706,0.04076268277212512
137,0.6965036449784214,0.04031092841246634
138,0.7005774656114045,0.039858869535233946
139,0.7046491300403004,0.039406505348925605
140,0.7087187218346563,0.03895383505877178
141,0.712786324147618,0.03850085786745713
142,0.7168520197338243,0.03804757297207383
143,0.7209158909670724,0.037593979568746966
144,0.724978019857768,0.0371400768494462
145,0.7290384880701689,0.03668586400277763
146,0.7330973769394333,0.03623134021396396
147,0.7371547674884845,0.03577650466482478
148,0.741210740444699,0.035321356533756496
149,0.74526537625643,0.03486589499571231
150,0.7493187551093773,0.03441011922218172
151,0.7533709569428098,0.033954028381170225
152,0.7574220614656513,0.033497621637178725
153,0.7614721481724424,0.03304089815118256
154,0.7655212963591803,0.03258385708061086
155,0.7695695851390522,0.03212649757932524
156,0.7736170934580684,0.03166881879759869
157,0.7776639001106025,0.031210819882094083
158,0.7817100837548521,0.03075249997584265
159,0.7857557229282199,0.03029385821822228
160,0.7898008960626361,0.02983489374493546
161,0.7938456814998165,0.029375605687987385
162,0.7978901575064764,0.028915993175663672
163,0.801934402289503,0.028456055332507772
164,0.8059784940110933,0.027995791279298632
165,0.8100225108038703,0.02753520013302781
166,0.8140665307859816,0.027074281006876436
167,0.8181106320761906,0.026613033010192324
168,0.8221548928089693,0.026151455248466432
169,0.8261993911495967,0.02568954682330952
170,0.8302442053092771,0.025227306832428416
171,0.8342894135602814,0.02476473436960221
172,0.8383350942511207,0.024301828524658214
173,0.8423813258217644,0.023838588383447632
174,0.8464281868189041,0.023375013027821304
175,0.8504757559112789,0.022911101535604925
176,0.8545241119050644,0.02244685298057435
177,0.8585733337593372,0.02198226643243053
178,0.8626235006016257,0.021517340956774305
179,0.8666746917435478,0.021052075615081076
180,0.870726986696554,0.020586469464675086
181,0.8747804651877774,0.020120521558703648
182,0.8788352071760046,0.01965423094611121
183,0.8828912928677726,0.019187596671612954
184,0.8869488027336029,0.0187206177756685
185,0.8910078175243838,0.01825329329445522
186,0.8950684182879063,0.01778562225984133
187,0.8991306863855668,0.017317603699358905
188,0.9031947035092468,0.016849236636176414
189,0.9072605516983757,0.016380520089071378
190,0.9113283133571922,0.015911453072402458
191,0.91539807127221,0.015442034596081637
192,0.9194699086299029,0.014972263665545894
193,0.9235439090346171,0.014502139281728875
194,0.9276201565267241,0.014031660441032108
195,0.9316987356010235,0.01356082613529623
196,0.9357797312254105,0.013089635351771812
197,0.9398632288598167,0.01261808707308992
198,0.9439493144754411,0.012146180277232606
199,0.9480380745742795,0.011673913937502963
200,0.9521295962089683,0.011201287022495019
201,0.9562239670029554,0.010728298496063476
202,0.9603212751710132,0.01025494731729302
203,0.9644216095401057,0.009781232440467441
204,0.9685250595706258,0.009307152815038579
205,0.9726317153780207,0.008832707385594864
206,0.9767416677548151,0.008357895091829782
207,0.9808550081930526,0.007882714868509897
208,0.9849718289071747,0.007407165645442636
209,0.9890922228573459,0.006931246347443967
210,0.059222349189236204,0.11172320584609012
211,0.06525895804793272,0.11131290076451297
212,0.07124828693462198,0.11090238809748773
213,0.07719179695634189,0.11049166741077149
214,0.08309088021557028,0.1100807382687187
215,0.08894686431737882,0.10966960023427476
216,0.09476101650567899,0.10925825286896966
217,0.10053454746519377,0.10884669573291138
218,0.10626861482158649,0.10843492838477943
219,0.11196432636852595,0.10802295038181838
220,0.11762274304727992,0.10761076127983109
221,0.1232448817016416,0.10719836063317222
222,0.12883171762855292,0.1067857479947415
223,0.13438418694264107,0.10637292291597704
224,0.13990318877099828,0.10595988494684852
225,0.14538958729286644,0.10554663363585053
226,0.15084421363741593,0.10513316852999557
227,0.15626786765150336,0.1047194891748073
228,0.1616613195481331,0.10430559511431362
229,0.16702531144531976,0.10389148589103958
230,0.17236055880412912,0.10347716104600062
231,0.17766775177385732,0.10306262011886809
232,0.1829475564515767,0.10264786264711358
233,0.18820061606261965,0.10223288816765352
234,0.19342755206798612,0.10181769621526954
235,0.19862896520413095,0.10140228632337672
236,0.20380543646011262,0.10098665802401871
237,0.20895752799665845,0.10057081084628358
238,0.21408578401131287,0.10015474432016722
239,0.21919073155348923,0.09973845797231053
240,0.22427288129292774,0.09932195132823733
241,0.22933272824477846,0.09890522391188188
242,0.23437075245426725,0.09848827524558139
243,0.2393874196436681,0.09807110485006848
244,0.24438318182409172,0.09765371224446355
245,0.24935847787440288,0.09723609694626707
246,0.2543137340894052,0.09681825847135198
247,0.2592493646992662,0.09640019633395583
248,0.26416577236200967,0.09598191004667306
249,0.2690633486307676,0.09556339912044715
250,0.2739424743973554,0.09514466306456267
251,0.27880352031362843,0.0947257013866374
252,0.28364684719196537,0.09430651359261427
253,0.28847280638613404,0.09388709918737415
254,0.2932817401537047,0.09346745767219887
255,0.29807398200109647,0.093047588548628
256,0.3028498570122659,0.0926274913158242
257,0.3076096821619808,0.0922071654712346
258,0.31235376661455655,0.09178661051058254
259,0.3170824120088765,0.09136582592785919
260,0.3217959127304601,0.09094481121531524
