,Dcx,Dcy
0,0.17199207808093658,0.11548198832191774
1,0.22392173658366626,0.11138858669782231
2,0.2736052488367909,0.10727443337110974
3,0.3214700496510788,0.1031390879188842
4,0.3678415467247883,0.09898209530778213
5,0.41297566551256043,0.09480298520072294
6,0.4570793478043373,0.09060127122130544
7,0.5003240707843201,0.08637645016977785
8,0.5428551185009454,0.08212800119475984
9,0.5847981639650065,0.0778553849052418
10,0.6262640939223835,0.07355804242846291
11,0.6673526575636899,0.06923539440440313
12,0.7081553159226207,0.06488683991267168
13,0.7487575457100667,0.0605117553261518
14,0.7892407758127566,0.05610949308519822
15,0.8296840881346926,0.05167938038563357
16,0.8701657865828867,0.04722071777243863
17,0.1701476494587685,0.17309564505159847
18,0.22216440376846622,0.16926258083633208
19,0.27191781680443594,0.1654138733229391
20,0.31983966267710107,0.16154923657648548
21,0.366258246480376,0.15766837676571005
22,0.411431505108111,0.15377099184956283
23,0.455567819497758,0.14985677124762461
24,0.49883972050772957,0.14592539549338399
25,0.5413932766197299,0.1419765358692678
26,0.5833547509388163,0.13800985402223806
27,0.6248354755817019,0.13402500155867844
28,0.6659355339081602,0.13002161961716668
29,0.7067466328034757,0.1259993384180932
30,0.7473544220830731,0.12195777678589861
31,0.7878404413005355,0.11789654164916988
32,0.8282838268933393,0.11381522750648286
33,0.8687628841922947,0.10971341586452396
34,0.16829982497449478,0.22740973677544285
35,0.22040437386802242,0.22377665276649694
36,0.27022819983831664,0.22013136066432032
37,0.3182074810379185,0.2164736620270848
38,0.3646734586738434,0.2128033537397315
39,0.4098861055358873,0.2091202278542725
40,0.45405525787044965,0.20542407142305558
41,0.4973545113089814,0.2017146663246101
42,0.5399307266531969,0.19799178908169696
43,0.5819107628869172,0.19425521067117424
44,0.6234064018734465,0.19050469632416658
45,0.6645180645588702,0.18674000531956272
46,0.7053377064420637,0.18296089076469563
47,0.7459511527630496,0.17916709936753045
48,0.7864400557778751,0.17535837119750497
49,0.8268836083326386,0.17153443943481098
50,0.8673601190026085,0.16769503010742753
51,0.1664485759109908,0.2791490123742646
52,0.2186416262925438,0.27567405623742963
53,0.2685363825261739,0.2721893403404551
54,0.31657349278642377,0.2686947198394359
55,0.36308717376747157,0.2651900469343728
56,0.4083394589839811,0.26167517078029323
57,0.4525416563751354,0.2581499373949484
58,0.495868437582949,0.25461418956304
59,0.5384674637054296,0.25106776673606224
60,0.5804661954490571,0.24751050492957594
61,0.6219768688396632,0.24394223661483044
62,0.663100245854261,0.24036279060690238
63,0.7039285333860292,0.2367719919480861
64,0.7445477344320729,0.23316966178650525
65,0.7850396159941461,0.22955561724970133
66,0.8254834292058311,0.2259296713129434
67,0.8659574877077295,0.22229163266198643
68,0.1645938731922026,0.32882978363166193
69,0.2168761402298875,0.32548241071532513
70,0.26684234931012396,0.322127103204552
71,0.3149376858759576,0.31876375106160704
72,0.36149938215317345,0.3153922422821437
73,0.406791557589438,0.31201246284225276
74,0.4510270084267792,0.30862429664366053
75,0.49438149369619777,0.30522762545704035
76,0.5370034828591383,0.30182232886351823
77,0.5790210442488587,0.29840828419386095
78,0.6205468725103713,0.2949853664657033
79,0.6616820741240577,0.2915534483184965
80,0.7025191101770809,0.2881123999461257
81,0.7431441637687205,0.28466208902709195
82,0.7836391186974595,0.2812023806521515
83,0.8240832862670716,0.27773313724929627
84,0.864554987004694,0.2742542185059565
85,0.16273568737670974,0.37683698449757047
86,0.2151078946420721,0.3735939838953557
87,0.26514608448462357,0.3703444596598529
88,0.3133000481590504,0.36708832538537123
89,0.3599100741516772,0.3638254933059979
90,0.40524239343770596,0.36055587426226954
91,0.4495113074022004,0.35727937766675927
92,0.49289367398670486,0.353995911468742
93,0.5355387791754517,0.35070538211760505
94,0.577575304893659,0.3474076945252005
95,0.6191164089034357,0.344102752026991
96,0.6602635456891646,0.3407904563419596
97,0.7011094333509013,0.3374707075312372
98,0.7417404374479899,0.3341434039553954
99,0.7822385606345938,0.3308084422303515
100,0.8226831762713538,0.3274657171818303
101,0.8631526135935964,0.3241151217983241
102,0.16087398865114017,0.4234683070496772
103,0.21333686826172027,0.4203114439040661
104,0.26344757219440035,0.41714918173252885
105,0.3116605673861436,0.4139814507357406
106,0.35831924001169774,0.4108081801448579
107,0.4036919585620757,0.40762929819953636
108,0.44799454663968163,0.40444473212539306
109,0.49140497276357775,0.4012544081107827
110,0.534073347693707,0.39805825128295463
111,0.5761289729743488,0.394856185683529
112,0.6176854740244394,0.39164813424327477
113,0.6588446568615614,0.3884340187561669
114,0.6996994994370577,0.38521375985269324
115,0.7403365521412177,0.3819872769723879
116,0.7808379385509157,0.3787544883355603
117,0.8212830959744336,0.3755153109141927
118,0.8617503641775083,0.37226966040197335
119,0.15900874682343213,0.46896115948590816
