,Dcx,Dcy
0,0.27409489904733153,0.27194249751333543
1,0.3921175036778127,0.27639003631622705
2,0.49986914798155213,0.2808267731840447
3,0.5972112605268813,0.28525255214435735
4,0.6850759817262638,0.2896672220268782
5,0.7647157539059202,0.2940706364523228
6,0.8373487167774409,0.2984626538168912
7,0.28312893635287023,0.3933221891550699
8,0.40043851633067146,0.3974190393547523
9,0.5074069840158184,0.4015024133306311
10,0.604010036784256,0.4055722755170099
11,0.6912235625687164,0.4096285936973585
12,0.7703057400824207,0.4136713389316925
13,0.8424654876948212,0.4177004854828845
14,0.2921166049223914,0.5041053026645835
15,0.40870217276577936,0.5078164536932446
16,0.5148878559260534,0.511514174108975
17,0.6107574924937287,0.5151984960294036
18,0.697326823909172,0.5188694530278368
19,0.7758580439182333,0.5225270800794498
20,0.8475502992738168,0.5261714135080674
21,0.30105657366164124,0.6041715541306515
22,0.41690819392181194,0.6075185729580663
23,0.5223120645858544,0.6108534745893839
24,0.6174541296277914,0.6141763151519753
25,0.7033862798393351,0.6174871511084006
26,0.7813731218405398,0.6207860392307881
27,0.8526035348239595,0.6240730365759564
28,0.3099476001613143,0.6944913155439658
29,0.42505636048820966,0.6975174668028489
30,0.5296799361475613,0.7005331488683998
31,0.6241004555658712,0.7035384197908375
32,0.7094024416148778,0.7065333374829275
33,0.7868514250191204,0.7095179597108818
34,0.8576255723232775,0.7124923440856348
35,0.31878852987769835,0.7763573604350722
36,0.43314651006214294,0.7791087826807809
37,0.5369918200471822,0.7818513032125844
38,0.6306969821684134,0.784584973747324
39,0.7153758173345603,0.7873098457216302
40,0.792293399308389,0.7900259702901022
41,0.8626167844546515,0.7927333983236384
42,0.3275782949966755,0.8510236890994018
43,0.44117853431370785,0.8535419841780851
44,0.5442480870987403,0.8560527306770482
45,0.6372442249114003,0.8585559720827991
46,0.7213069116484072,0.861051751593249
47,0.7976994852005783,0.8635401121185464
48,0.8675775386455945,0.8660210962819588
