Fila,a,b,c,d
0,-0.00022731884877050075,0.002312682055058113,-0.08647013256207146,1.0044346041022787
5,-0.00021300625822222272,0.0019261820369442975,-0.0865015310271448,1.0033084904341432
6,-0.00020486810117576146,0.0018143562742812043,-0.08617307672262449,1.0047305800412203
9,-0.00020251502265079653,0.0017574423858694177,-0.0859221542765803,1.003408667513457
10,-0.0002195663004618643,0.0020360969859442766,-0.08718808751280839,1.0028986519873666
11,-0.00021483035940053806,0.0019487899320592905,-0.08681110409968629,1.004248085598547
12,-0.00021254597409329858,0.0018888509719822179,-0.08642795325748459,1.0013685315258172
15,-0.00018978612196620434,0.0015036836967864799,-0.08470488471270961,1.0037817280967505
16,-0.00019294488130582285,0.0016460343675788846,-0.08558979023794219,1.0157729487504292
