Fila,a,b,c,d
0,2.3957915073025244,-5.801815795877165,-7.943050141272944,40.12071928787196
1,2.4932642078939042,-6.055279193901367,-7.517021050712238,39.78348290070373
2,2.52245276091132,-6.082452012622269,-7.505828250814278,39.75190648405157
3,2.515182134183679,-6.0556567472629235,-7.5205850740374505,39.62892985901524
4,2.4900243886257063,-6.02111548351232,-7.5272799099773255,39.64489411851392
5,2.5281201952832726,-6.067338019522891,-7.5162463957364105,39.594607132668585
6,2.5266455622548945,-6.066929939781889,-7.512345238036428,39.521088319266845
7,2.457615931377776,-5.9436587172226405,-7.5658179715462035,39.36479164203564
8,2.507237435558279,-6.010480793293256,-7.547020791116846,39.47344378127525
9,2.5074553259103887,-6.007964185228555,-7.55288403270132,39.26718792995517
10,2.4630708026425765,-5.948428368416593,-7.56593963617183,39.26661108783479
11,2.4165088311438905,-5.862898792892295,-7.604936317162552,39.27059113100852
12,2.4273409130129666,-5.88184592883745,-7.601151983017308,39.14553521547206
13,2.5032831672285734,-5.9932230880471415,-7.562187336099752,39.063827074085026
14,2.374777740415342,-5.811185455927613,-7.631166768567465,39.032014770872074
15,1.9063930975951362,-5.228476907230284,-7.81478011698709,38.88958551287601
