Fila,m,b
0,-0.022385447941791745,518.2426278820327
1,-0.0261228784767741,544.3142575654352
2,-0.02692465835567739,566.8780068126629
3,-0.02944404201311891,697.129596926254
4,-0.030021997802078235,830.0198537811787
5,-0.03082351209966285,852.3982952354843
6,-0.030869772217743948,775.6312506125151
7,-0.03232007754006607,804.9188629904896
8,-0.03315263735739575,833.9919336932295
9,-0.033951267027003094,864.3013654379483
10,-0.03401427899601742,790.8875006627372
11,-0.03461996402972255,826.9505195175045
12,-0.035706557864985534,858.5843761257024
13,-0.03555226996659018,987.9217701809557
14,-0.03642082618017629,1024.925065553537
15,-0.036077120047966815,946.7177184501472
16,-0.035751057334788616,981.7598004836753
17,-0.035039756343861445,1010.1361966078443
