Columna,m,b
0,-0.06527879015492462,677.416019977165
1,-0.0728638586654628,653.6658941998309
2,-0.07400540131961963,632.2628317284541
3,-0.07556685784553807,604.0970049705289
4,-0.07817984466174105,578.0413313457686
5,-0.0780451873002399,553.7222514209466
6,-0.07931039368360251,524.5371258056382
7,-0.08070115867788501,494.12795662158106
8,-0.08304242118842908,462.96390698371096
9,-0.0831816939895064,432.0655002464936
10,-0.0842094758788825,402.2948944506163
11,-0.08503055812061337,367.71513980440324
12,-0.08555357639323412,336.5859678054674
13,-0.08707730612627729,302.9546646723446
14,-0.08643141808451249,271.96606453011304
15,-0.08540349758031762,239.85773509269862
16,-0.08526782751932416,205.74198860258002
17,-0.08711316446089468,179.38616163542804
