Fila,a,b,c,d
0,3.2241011406216145,-7.0872997844164525,-8.557425107809022,39.03810902149742
1,3.5314752327736536,-7.733848447501841,-7.943228485013105,38.72056216470492
2,3.239102241223603,-7.313769534762704,-8.091018095999903,38.65469259529544
3,3.4935093773703216,-7.67051634038274,-7.970038177295609,38.57851713289328
4,3.383762536033689,-7.551502702902289,-7.9437944798135005,41.15107209883119
5,3.4872159019932925,-7.6957351791687625,-7.929432625721228,38.4476373917408
6,3.512841202377087,-7.679299620187444,-7.961545937663717,38.41746055707235
7,3.350061105723828,-7.473658463297111,-8.034259992189359,38.35574750894629
8,3.335769769811317,-7.444286615755807,-8.057339656250619,38.27692948176328
9,3.37501485733673,-7.560534139875681,-7.977334991899955,38.18161971261265
10,3.2845240840475007,-7.3956501114377655,-8.033934669744808,38.1351751953007
11,3.3777436028543963,-7.497755291904476,-8.015904636154435,40.71995009928653
12,3.2873971201672094,-7.355884388790333,-8.062439906753005,40.638485989575344
13,3.268843467744393,-7.361184962684209,-8.0831502717886,37.908089546858314
14,3.287288145883678,-7.392274216242292,-8.055310734110817,40.47262062588035
15,3.3094508801874416,-7.447830152319769,-8.014186495136764,37.79500470230379
16,3.445518367026581,-7.544955641227561,-8.025091693322983,40.39268718294835
17,2.8078943889960617,-6.776363389721405,-8.265075141463464,40.32987946298422
