X,Y,Frame,Tiempo_seg,columna
1699.9988,350.00073,21,1.4704100161077758,0
1700.1294,349.977,22,1.5404295406843365,0
1700.1761,350.03793,23,1.6104490652608972,0
1700.187,349.9124,24,1.680468589837458,0
1700.203,349.99237,25,1.7504881144140187,0
1700.1587,349.92578,26,1.8205076389905797,0
1700.2001,349.90152,27,1.89052716356714,0
1700.2694,349.84897,28,1.960546688143701,0
1700.2186,349.83163,29,2.0305662127202617,0
1700.2958,349.83145,30,2.1005857372968224,0
1700.2296,349.79346,31,2.170605261873383,0
1700.1599,349.81625,32,2.240624786449944,0
1700.2402,349.83316,33,2.310644311026505,0
1700.3468,349.727,34,2.3806638356030656,0
1700.267,349.62192,35,2.4506833601796263,0
1700.3794,349.65118,36,2.520702884756187,0
1700.4062,349.71503,37,2.590722409332748,0
1700.3593,349.65344,38,2.6607419339093084,0
1700.5397,349.6668,39,2.730761458485869,0
1700.4578,349.78564,40,2.80078098306243,0
1700.4376,349.7322,41,2.870800507638991,0
1700.4921,349.5522,42,2.9408200322155515,0
1700.569,349.71268,43,3.010839556792112,0
1700.655,349.5815,44,3.080859081368673,0
1700.657,349.5206,45,3.1508786059452336,0
1700.6294,349.5687,46,3.2208981305217943,0
1700.685,349.32092,47,3.290917655098355,0
1700.8878,349.4297,48,3.360937179674916,0
1700.7506,349.54633,49,3.430956704251477,0
1700.761,349.09027,50,3.500976228828037,0
1700.7834,349.31638,51,3.570995753404598,0
1700.8917,349.2407,52,3.641015277981159,0
1700.9506,349.27246,53,3.71103480255772,0
1700.9589,349.29907,54,3.78105432713428,0
1700.754,349.0965,55,3.8510738517108414,0
1700.7625,349.05402,56,3.921093376287402,0
1700.4061,355.57455,57,3.9911129008639623,0
1699.9683,363.23718,58,4.061132425440523,0
1699.878,365.43384,59,4.131151950017085,0
1699.8531,366.00107,60,4.201171474593645,0
1699.8463,365.9581,61,4.271190999170206,0
1699.7728,366.12112,62,4.341210523746766,0
1699.9803,366.07617,63,4.411230048323327,0
1699.9171,366.2063,64,4.481249572899888,0
1699.9272,366.22693,65,4.551269097476449,0
1699.9225,366.17987,66,4.62128862205301,0
1699.9774,366.28632,67,4.69130814662957,0
1699.9736,366.31296,68,4.761327671206131,0
1699.9326,366.20453,69,4.831347195782692,0
1700.0391,366.2661,70,4.901366720359253,0
1699.9628,369.7356,71,4.971386244935813,0
1699.0879,379.85263,72,5.041405769512374,0
1698.9438,383.108,73,5.111425294088935,0
1698.9675,384.04596,74,5.181444818665495,0
1698.8037,384.15906,75,5.2514643432420565,0
1698.8069,384.27524,76,5.321483867818617,0
1698.9403,384.4956,77,5.391503392395178,0
1698.7285,384.62347,78,5.461522916971738,0
1698.8253,384.80618,79,5.531542441548299,0
1698.9246,384.84708,80,5.60156196612486,0
1698.8457,384.7603,81,5.671581490701421,0
1698.809,384.63187,82,5.741601015277982,0
1698.9316,384.98654,83,5.811620539854542,0
1698.9086,385.08737,84,5.881640064431103,0
1698.9528,386.1663,85,5.951659589007663,0
1698.0438,396.70215,86,6.0216791135842245,0
1697.8031,401.94318,87,6.091698638160786,0
1697.7683,403.52176,88,6.161718162737346,0
1697.794,403.86734,89,6.231737687313907,0
