X,Y,t_0_video
1606.9989013671875,273.0006103515625,1.2
1607.084228515625,273.04766845703125,1.2
1607.156982421875,272.9950866699219,1.2
1607.105224609375,272.95941162109375,1.2
1607.0067138671875,272.8446350097656,1.2
1607.015625,272.92059326171875,1.2
1607.0960693359375,273.1507873535156,1.2
1607.245849609375,273.1296691894531,1.2
1607.23974609375,272.8602294921875,1.2
1607.23486328125,273.00677490234375,1.2
1607.3033447265625,272.9350280761719,1.2
1607.430419921875,272.87664794921875,1.2
1607.4371337890625,273.02117919921875,1.2
1607.4080810546875,273.0238037109375,1.2
1607.30419921875,273.161865234375,1.2
1607.7689208984375,273.1529541015625,1.2
1607.6533203125,273.0995178222656,1.2
1607.44140625,273.0858459472656,1.2
1607.3819580078125,272.87109375,1.2
1607.3385009765625,273.09259033203125,1.2
1607.3685302734375,272.99700927734375,1.2
1607.3807373046875,272.92327880859375,1.2
1607.4912109375,272.8807678222656,1.2
1607.740478515625,273.14215087890625,1.2
1607.5257568359375,273.2109375,1.2
1607.4146728515625,272.8449401855469,1.2
1607.656494140625,273.0336608886719,1.2
1607.8966064453125,272.9386291503906,1.2
1607.8568115234375,272.97821044921875,1.2
1607.9312744140625,273.09674072265625,1.2
1607.91162109375,273.1241455078125,1.2
1607.81640625,272.9485168457031,1.2
1607.70849609375,273.0115966796875,1.2
1607.656982421875,272.95654296875,1.2
1607.65087890625,272.9111328125,1.2
1607.9495849609375,272.87774658203125,1.2
1607.739013671875,273.08453369140625,1.2
1607.7955322265625,272.9752197265625,1.2
1607.7999267578125,272.8551025390625,1.2
1607.859619140625,272.889404296875,1.2
1607.982666015625,272.9056396484375,1.2
1608.0870361328125,272.7802734375,1.2
1608.11865234375,272.9215087890625,1.2
1608.0361328125,273.02587890625,1.2
1607.897705078125,273.04144287109375,1.2
1607.9068603515625,272.9500732421875,1.2
1608.0888671875,272.9354553222656,1.2
1607.9921875,273.07672119140625,1.2
1608.0615234375,272.91656494140625,1.2
1608.04443359375,272.98065185546875,1.2
1608.3260498046875,273.08880615234375,1.2
1608.14697265625,273.024658203125,1.2
1607.5074462890625,273.0216064453125,1.2
1607.1180419921875,273.1731872558594,1.2
1606.82568359375,273.0997619628906,1.2
1606.48388671875,272.91717529296875,1.2
1605.6177978515625,273.1178283691406,1.2
1605.2381591796875,273.3682556152344,1.2
1604.8475341796875,273.13543701171875,1.2
1604.053466796875,273.12445068359375,1.2
1603.35205078125,273.1673583984375,1.2
1602.9173583984375,273.0810546875,1.2
1602.5316162109375,273.060302734375,1.2
1601.670654296875,273.1456604003906,1.2
1601.322021484375,273.21112060546875,1.2
1600.8697509765625,273.0333251953125,1.2
1600.18310546875,273.19580078125,1.2
1599.55908203125,273.3623046875,1.2
1599.12255859375,273.23114013671875,1.2
1598.553466796875,273.3793029785156,1.2
1598.1807861328125,273.3138427734375,1.2
1597.183837890625,273.21612548828125,1.2
1596.81298828125,273.09442138671875,1.2
1596.2696533203125,273.3595275878906,1.2
1595.389892578125,273.2623291015625,1.2
1594.9517822265625,273.25396728515625,1.2
1594.6798095703125,273.4450378417969,1.2
1594.5413818359375,273.7830505371094,1.2
1593.4664306640625,273.28216552734375,1.2
1592.9996337890625,273.26617431640625,1.2
1592.2210693359375,273.3836364746094,1.2
1591.8516845703125,273.3694763183594,1.2
1591.1728515625,273.0805358886719,1.2
1590.9415283203125,273.3954162597656,1.2
1590.216796875,273.3519592285156,1.2
1589.2996826171875,273.33746337890625,1.2
1588.8212890625,273.48590087890625,1.2
1588.33544921875,273.4006652832031,1.2
1587.7161865234375,273.363525390625,1.2
1587.1607666015625,273.33087158203125,1.2
1586.8057861328125,273.56341552734375,1.2
1585.86767578125,273.428955078125,1.2
1585.325439453125,273.4105224609375,1.2
1584.8748779296875,273.64056396484375,1.2
1584.259033203125,273.4543762207031,1.2
1583.6107177734375,273.4100646972656,1.2
1583.19384765625,273.31793212890625,1.2
1582.36181640625,273.7381591796875,1.2
1582.0736083984375,273.53582763671875,1.2
1581.073974609375,273.42633056640625,1.2
1580.7183837890625,274.07318115234375,1.2
1580.2034912109375,273.7555236816406,1.2
1579.392333984375,273.3823547363281,1.2
1579.02685546875,273.9952697753906,1.2
1578.2913818359375,273.61932373046875,1.2
1577.3880615234375,273.42193603515625,1.2
1577.0518798828125,273.7196960449219,1.2
1576.5609130859375,273.9451599121094,1.2
1575.5357666015625,274.1943359375,1.2
1575.19970703125,273.76055908203125,1.2
1574.6395263671875,274.33270263671875,1.2
1574.04150390625,273.979736328125,1.2
1573.291259765625,273.9197692871094,1.2
1572.963623046875,273.8973083496094,1.2
1572.08251953125,274.00457763671875,1.2
1571.254638671875,273.901611328125,1.2
1570.8206787109375,274.251953125,1.2
1570.6842041015625,274.636962890625,1.2
1569.703369140625,274.1234436035156,1.2
1568.9168701171875,274.05303955078125,1.2
1568.6160888671875,274.4659118652344,1.2
1567.8211669921875,274.5345458984375,1.2
1567.0660400390625,274.17926025390625,1.2
1566.662841796875,274.4103698730469,1.2
1565.75439453125,274.4881896972656,1.2
1565.171630859375,274.08978271484375,1.2
1564.7073974609375,274.0159912109375,1.2
1563.862548828125,274.43701171875,1.2
1563.2491455078125,273.9684143066406,1.2
1562.7620849609375,274.31787109375,1.2
1562.2421875,274.571533203125,1.2
1561.7081298828125,274.5162353515625,1.2
1560.981201171875,274.56195068359375,1.2
1560.0208740234375,274.40087890625,1.2
1559.3931884765625,274.388671875,1.2
1559.0523681640625,274.5252990722656,1.2
1558.313720703125,274.1759948730469,1.2
1557.75634765625,274.6247253417969,1.2
1556.947021484375,274.49078369140625,1.2
1556.662109375,274.58209228515625,1.2
1555.7872314453125,274.6695251464844,1.2
1555.074951171875,274.347412109375,1.2
1554.652099609375,274.5972900390625,1.2
1554.0670166015625,274.5089416503906,1.2
1553.3564453125,274.51953125,1.2
1552.7132568359375,274.6327819824219,1.2
1551.9908447265625,274.4266662597656,1.2
1551.3111572265625,274.6664123535156,1.2
1550.7056884765625,274.3876953125,1.2
1550.139892578125,274.5648193359375,1.2
1549.4337158203125,274.59259033203125,1.2
1548.990966796875,274.70703125,1.2
1548.2611083984375,274.54473876953125,1.2
1547.3155517578125,274.75653076171875,1.2
1546.884521484375,274.8485412597656,1.2
1546.0972900390625,274.585693359375,1.2
1545.6680908203125,274.6838073730469,1.2
1545.096923828125,274.71490478515625,1.2
1544.3634033203125,274.747802734375,1.2
1543.28857421875,274.3658447265625,1.2
1542.9114990234375,274.8467102050781,1.2
1542.37890625,274.7532958984375,1.2
1541.4998779296875,274.630615234375,1.2
1540.8995361328125,274.759033203125,1.2
1540.2279052734375,274.8558654785156,1.2
1539.3204345703125,274.6821594238281,1.2
1538.8651123046875,274.76959228515625,1.2
1538.2979736328125,274.713623046875,1.2
1537.57177734375,274.7581787109375,1.2
1536.825927734375,274.79034423828125,1.2
1536.249755859375,274.94708251953125,1.2
1535.338623046875,274.8934326171875,1.2
1534.6832275390625,274.8499450683594,1.2
1534.146728515625,274.7808837890625,1.2
1533.3876953125,274.99139404296875,1.2
1532.7164306640625,274.79986572265625,1.2
1531.843994140625,274.9456787109375,1.2
1531.33837890625,274.96795654296875,1.2
1530.6273193359375,275.0848388671875,1.2
1530.3204345703125,274.82916259765625,1.2
1529.3067626953125,274.9001159667969,1.2
1528.76904296875,275.01165771484375,1.2
1527.8690185546875,274.9447021484375,1.2
1527.0570068359375,275.0340576171875,1.2
1526.670654296875,275.15740966796875,1.2
1525.8206787109375,275.01904296875,1.2
1525.11767578125,274.88275146484375,1.2
1524.4017333984375,274.9579772949219,1.2
1523.4146728515625,274.9404296875,1.2
1523.0897216796875,275.02203369140625,1.2
1522.4046630859375,274.9525146484375,1.2
1521.4739990234375,275.0551452636719,1.2
1520.89404296875,275.1351318359375,1.2
1520.155029296875,275.02508544921875,1.2
1519.2236328125,275.16595458984375,1.2
1518.7913818359375,275.216552734375,1.2
1518.00244140625,275.0912170410156,1.2
1517.219970703125,275.1167297363281,1.2
1516.8316650390625,275.2690124511719,1.2
1515.9334716796875,275.2469177246094,1.2
1515.2657470703125,274.993896484375,1.2
1514.6732177734375,275.410888671875,1.2
1513.69873046875,275.284912109375,1.2
1513.1883544921875,275.28338623046875,1.2
1512.6715087890625,275.39044189453125,1.2
1511.6407470703125,275.486083984375,1.2
1510.8765869140625,275.3285827636719,1.2
1510.11376953125,275.33880615234375,1.2
1509.23486328125,275.40069580078125,1.2
1508.6318359375,275.42266845703125,1.2
1507.718505859375,275.3693542480469,1.2
1507.178466796875,275.5895690917969,1.2
1506.494140625,275.3514099121094,1.2
1505.622802734375,275.4166259765625,1.2
1505.07470703125,275.42694091796875,1.2
1504.745849609375,275.58868408203125,1.2
1503.6646728515625,275.441650390625,1.2
1503.050537109375,275.6210632324219,1.2
1502.621826171875,275.7442321777344,1.2
1501.406494140625,275.34130859375,1.2
1500.698486328125,275.39697265625,1.2
1499.9124755859375,275.9808349609375,1.2
1499.2276611328125,275.5331726074219,1.2
1498.661376953125,275.9075927734375,1.2
1497.7919921875,275.890869140625,1.2
1497.2415771484375,275.57708740234375,1.2
