X,Y,Frame,Tiempo_seg,fila
1589.0006,454.0128,0,0.0,0
1589.1136,454.09534,1,0.0700008551881413,0
1589.2323,454.2909,2,0.1400017103762827,0
1589.4246,454.10916,3,0.2100025655644241,0
1589.4814,454.26266,4,0.2800034207525655,0
1589.4774,454.34558,5,0.350004275940707,0
1589.842,454.16983,6,0.4200051311288483,0
1589.9086,454.1764,7,0.4900059863169898,0
1590.3838,454.39142,8,0.5600068415051311,0
1590.4287,454.23135,9,0.6300076966932725,0
1590.4701,454.23117,10,0.700008551881414,0
1590.5559,454.4093,11,0.7700094070695553,0
1590.5802,454.46826,12,0.8400102622576967,0
1590.5364,454.44373,13,0.910011117445838,0
1590.805,454.41516,14,0.9800119726339795,0
1590.8302,454.3722,15,1.0500128278221208,0
1590.9008,454.56482,16,1.1200136830102625,0
1590.7477,454.5323,17,1.1900145381984035,0
1590.953,454.6434,18,1.260015393386545,0
1590.5366,454.47543,19,1.3300162485746865,0
1552.9985,486.00043,168,11.760143671607754,1
1551.9982,523.0075,308,21.560263397947548,2
1549.999,551.9995,448,31.360383124287345,3
1552.0,588.00055,587,41.090501995439,4
1551.9988,620.9999,727,50.89062172177879,5
1553.9965,654.9971,866,60.620740592930446,6
1552.9963,689.0046,1006,70.42086031927025,7
1553.9957,721.99945,1145,80.1509791904219,8
1555.9951,753.99896,1285,89.9510989167617,9
1553.998,786.9989,1426,99.82121949828962,10
1554.9987,819.001,1565,109.55133836944128,11
1208.9003,822.81104,1695,118.65144954389966,11
1208.57,822.64703,1696,118.7214503990878,11
1207.8053,822.5712,1697,118.79145125427594,11
1207.5355,822.76556,1698,118.86145210946408,11
1207.319,822.7793,1699,118.93145296465222,11
1207.1888,822.66534,1700,119.00145381984036,11
1207.056,822.68555,1701,119.0714546750285,11
1206.8577,822.5146,1702,119.14145553021665,11
1207.0535,822.563,1703,119.2114563854048,11
1206.8813,822.71576,1704,119.28145724059291,11
1206.6147,822.62354,1705,119.35145809578108,11
1206.8131,822.67377,1706,119.42145895096922,11
1206.0195,822.20435,1707,119.49145980615737,11
1206.2637,822.2383,1708,119.5614606613455,11
1205.7616,822.13635,1709,119.63146151653363,11
1205.4126,822.324,1710,119.7014623717218,11
1205.2673,822.1878,1711,119.77146322690992,11
1205.3512,822.1865,1712,119.84146408209808,11
1205.4438,822.2568,1713,119.9114649372862,11
1205.2756,822.4381,1714,119.98146579247437,11
1204.9816,822.0914,1715,120.0514666476625,11
1205.1986,821.86597,1716,120.12146750285063,11
1205.4,822.4084,1717,120.19146835803878,11
1205.1476,822.6138,1718,120.26146921322692,11
1205.2814,821.4449,1719,120.33147006841506,11
1204.9901,822.0251,1720,120.4014709236032,11
1205.1261,822.12317,1721,120.47147177879134,11
1204.7587,822.48364,1722,120.54147263397948,11
1205.1594,822.63837,1723,120.61147348916762,11
1204.8186,822.4974,1724,120.68147434435576,11
1204.6436,822.231,1725,120.7514751995439,11
1204.7694,822.6545,1726,120.82147605473205,11
1204.5736,822.60895,1727,120.8914769099202,11
1204.7161,822.3247,1728,120.96147776510831,11
1204.5914,822.5719,1729,121.03147862029648,11
1204.3734,822.2237,1730,121.1014794754846,11
1204.7749,822.0888,1731,121.17148033067276,11
1203.9001,822.3742,1733,121.31148204104905,11
1204.5153,822.51556,1734,121.38148289623716,11
1203.9601,822.8389,1735,121.45148375142531,11
1204.2738,822.5145,1736,121.52148460661346,11
1203.504,822.3927,1737,121.5914854618016,11
1204.2692,822.5853,1739,121.73148717217788,11
1203.453,822.6292,1740,121.80148802736602,11
1204.397,822.6815,1741,121.87148888255416,11
1204.0305,822.62665,1742,121.9414897377423,11
1204.1423,822.8018,1743,122.01149059293044,11
1203.9135,822.87427,1744,122.0814914481186,11
1204.0549,822.8429,1745,122.15149230330674,11
1203.5165,822.6412,1746,122.22149315849488,11
1203.9453,822.54486,1747,122.29149401368302,11
1203.9385,822.6142,1748,122.36149486887116,11
1203.7366,822.2696,1749,122.4314957240593,11
1203.6306,822.5609,1750,122.50149657924744,11
1203.7129,822.5316,1751,122.5714974344356,11
1203.3706,822.7421,1752,122.64149828962373,11
1203.7137,822.67523,1753,122.71149914481188,11
