X,Y,t_0_video
1614.998291015625,176.9923553466797,3.2
1614.936767578125,177.08224487304688,3.2
1614.8472900390625,177.12628173828125,3.2
1614.969970703125,177.08084106445312,3.2
1615.008544921875,177.17312622070312,3.2
1615.106201171875,177.10769653320312,3.2
1614.9129638671875,177.22203063964844,3.2
1615.0462646484375,177.08050537109375,3.2
1615.056396484375,177.17433166503906,3.2
1614.992431640625,177.06497192382812,3.2
1614.8277587890625,177.00575256347656,3.2
1615.0421142578125,176.97994995117188,3.2
1615.029296875,177.32742309570312,3.2
1614.9610595703125,177.12538146972656,3.2
1614.992919921875,177.25369262695312,3.2
1615.09033203125,177.17674255371094,3.2
1614.9013671875,177.11940002441406,3.2
1615.0091552734375,177.20169067382812,3.2
1614.9517822265625,177.1793975830078,3.2
1614.8465576171875,177.38320922851562,3.2
1614.927490234375,178.3047332763672,3.2
1614.862548828125,178.7105712890625,3.2
1614.8192138671875,179.19976806640625,3.2
1614.8060302734375,179.344970703125,3.2
1614.9420166015625,179.86819458007812,3.2
1614.7401123046875,180.50872802734375,3.2
1614.8114013671875,180.8251495361328,3.2
1614.7938232421875,181.21224975585938,3.2
1614.636474609375,181.43255615234375,3.2
1614.56005859375,181.92796325683594,3.2
1614.704833984375,182.65740966796875,3.2
1614.596435546875,183.06834411621094,3.2
1614.7696533203125,183.52398681640625,3.2
1614.5992431640625,184.42898559570312,3.2
1614.711669921875,184.84207153320312,3.2
1614.5494384765625,185.1001739501953,3.2
1614.634033203125,185.5564422607422,3.2
1614.760009765625,186.49850463867188,3.2
1614.7366943359375,186.8417205810547,3.2
1614.596923828125,187.26170349121094,3.2
1614.7991943359375,187.62571716308594,3.2
1614.6710205078125,188.52113342285156,3.2
1614.5966796875,189.0016632080078,3.2
1614.491943359375,189.13514709472656,3.2
1614.2900390625,189.54100036621094,3.2
1614.3037109375,190.12660217285156,3.2
1614.08544921875,191.20413208007812,3.2
1613.781982421875,191.48739624023438,3.2
1614.060791015625,191.94606018066406,3.2
1614.4290771484375,192.65562438964844,3.2
1613.8458251953125,193.08778381347656,3.2
1614.091796875,193.3924560546875,3.2
1614.0810546875,193.808349609375,3.2
1614.271484375,194.8374481201172,3.2
1614.0103759765625,195.0670623779297,3.2
1614.5289306640625,195.97024536132812,3.2
1614.1949462890625,196.60726928710938,3.2
1613.84375,197.09352111816406,3.2
1614.0753173828125,197.7541961669922,3.2
1613.857666015625,197.82481384277344,3.2
1613.9495849609375,198.7024688720703,3.2
1613.8265380859375,199.07752990722656,3.2
1613.440673828125,199.2269744873047,3.2
1613.3660888671875,200.1994171142578,3.2
1613.6475830078125,201.0115203857422,3.2
1613.53857421875,201.29666137695312,3.2
1613.4732666015625,201.52978515625,3.2
1613.4063720703125,202.14378356933594,3.2
1613.4415283203125,202.88186645507812,3.2
1613.3865966796875,203.13882446289062,3.2
1613.72265625,204.29736328125,3.2
1613.6497802734375,204.747314453125,3.2
1613.28759765625,205.17282104492188,3.2
1613.24560546875,205.27842712402344,3.2
1613.3359375,206.50051879882812,3.2
1613.2413330078125,206.83563232421875,3.2
1613.1849365234375,207.13998413085938,3.2
1613.1212158203125,207.93209838867188,3.2
1613.23046875,208.7359161376953,3.2
1613.0810546875,209.29833984375,3.2
1613.0084228515625,209.42990112304688,3.2
1613.085205078125,210.2722930908203,3.2
1613.00927734375,210.84471130371094,3.2
1612.804931640625,211.3001708984375,3.2
1612.856201171875,211.981689453125,3.2
1612.8798828125,212.9079132080078,3.2
1612.900390625,213.00192260742188,3.2
1612.798095703125,213.49081420898438,3.2
1612.8138427734375,213.91380310058594,3.2
1612.8929443359375,214.81736755371094,3.2
1612.663330078125,215.39700317382812,3.2
1612.716064453125,216.01901245117188,3.2
1612.6572265625,216.6194305419922,3.2
1612.6534423828125,217.07064819335938,3.2
1612.2506103515625,217.37542724609375,3.2
1612.572998046875,218.55679321289062,3.2
1612.6094970703125,218.88174438476562,3.2
1612.510498046875,219.24090576171875,3.2
1612.0677490234375,219.48048400878906,3.2
1612.5447998046875,220.578125,3.2
1612.4439697265625,220.85665893554688,3.2
1612.172119140625,221.2223358154297,3.2
1612.687255859375,222.65670776367188,3.2
1612.28173828125,222.91844177246094,3.2
1612.2806396484375,223.46568298339844,3.2
1612.3956298828125,224.29522705078125,3.2
1611.8951416015625,224.78831481933594,3.2
1612.172119140625,225.16880798339844,3.2
1612.0537109375,225.6991424560547,3.2
