X,Y,Frame,Tiempo_seg,fila
1255.999,298.00003,0,0.0,0
1255.8529,298.06195,1,0.0700198108747044,0
1255.9916,298.02243,2,0.1400396217494089,0
1255.836,298.05582,3,0.2100594326241134,0
1255.6953,298.05316,4,0.2800792434988179,0
1255.8683,298.01038,5,0.3500990543735224,0
1255.9464,298.08408,6,0.4201188652482269,0
1255.8607,298.00565,7,0.4901386761229314,0
1255.924,298.02426,8,0.5601584869976359,0
1255.8845,298.0212,9,0.6301782978723405,0
1255.9064,297.99246,10,0.7001981087470449,0
1255.8857,297.93262,11,0.7702179196217495,0
1255.9237,297.9967,12,0.8402377304964539,0
1256.0509,297.98245,13,0.9102575413711584,0
1255.9012,297.99783,14,0.9802773522458628,0
1255.8904,297.95282,15,1.050297163120567,0
1255.8467,297.9939,16,1.120316973995272,0
1256.0181,298.01306,17,1.1903367848699764,0
1255.9346,297.99893,18,1.260356595744681,0
1255.9769,298.04868,19,1.3303764066193853,0
1255.8917,298.02606,20,1.4003962174940898,0
1255.8789,298.00842,21,1.4704160283687944,0
1255.9309,298.00494,22,1.540435839243499,0
1255.8312,297.98633,23,1.6104556501182032,0
1255.8556,297.99802,24,1.6804754609929078,0
1255.8684,298.01422,25,1.7504952718676123,0
1255.9888,298.05237,26,1.8205150827423169,0
1255.9865,298.0545,27,1.8905348936170208,0
1255.9095,298.1001,28,1.9605547044917255,0
1255.9191,298.07825,29,2.03057451536643,0
1255.9602,298.0936,30,2.100594326241134,0
1255.9539,298.11176,31,2.170614137115839,0
1255.9126,298.1485,32,2.240633947990544,0
1255.8636,298.0796,33,2.3106537588652483,0
1255.9003,298.1145,34,2.380673569739953,0
1255.8671,298.1004,35,2.4506933806146574,0
1255.9292,298.0882,36,2.520713191489362,0
1255.9552,298.01456,37,2.590733002364066,0
1255.875,298.1372,38,2.6607528132387706,0
1255.8931,298.04868,39,2.730772624113475,0
1255.8892,298.02213,40,2.80079243498818,0
1255.9668,297.98355,41,2.870812245862884,0
1255.9462,298.019,42,2.9408320567375887,0
1255.9332,298.07297,43,3.0108518676122933,0
1255.9001,297.95676,44,3.080871678486998,0
1255.955,298.11252,45,3.150891489361702,0
1255.8469,298.105,46,3.2209113002364065,0
1255.8456,298.01788,47,3.290931111111111,0
1255.9366,298.08417,48,3.360950921985816,0
1255.856,298.14023,49,3.43097073286052,0
1255.8818,298.02216,50,3.5009905437352247,0
1255.7892,298.12943,51,3.571010354609929,0
1255.9098,298.19904,52,3.6410301654846338,0
1232.4595,297.9182,56,3.921109408983452,0
1232.2969,297.88837,57,3.991129219858156,0
1232.1744,297.94064,58,4.06114903073286,0
1232.0391,297.8475,59,4.131168841607565,0
1232.0546,297.92978,60,4.201188652482269,0
1231.9303,297.93738,61,4.271208463356974,0
1231.8448,297.90515,62,4.341228274231678,0
1231.8687,297.9504,63,4.411248085106383,0
1231.839,297.94366,64,4.481267895981087,0
1231.8435,297.98468,65,4.551287706855792,0
1231.8004,297.9527,66,4.6213075177304965,0
1231.8102,297.94678,67,4.691327328605201,0
1231.8057,297.92456,68,4.761347139479906,0
1231.7264,297.96835,69,4.83136695035461,0
1231.7368,297.84494,70,4.901386761229315,0
1231.6608,297.84576,71,4.971406572104019,0
1231.6555,297.8322,72,5.041426382978724,0
1231.6864,297.87292,73,5.111446193853428,0
1231.6261,297.83154,74,5.181466004728132,0
1231.6671,297.90646,75,5.251485815602837,0
1231.563,297.84418,76,5.321505626477541,0
1231.6617,297.89386,77,5.391525437352246,0
1231.6624,297.94437,78,5.46154524822695,0
1231.6028,297.91586,79,5.531565059101655,0
1231.5946,297.89322,80,5.601584869976359,0
1205.938,297.70908,85,5.951683924349882,0
1205.5314,297.8095,86,6.021703735224587,0
1205.4747,297.71045,87,6.091723546099291,0
1205.2142,297.71054,88,6.161743356973996,0
1205.1895,297.7332,89,6.231763167848699,0
1205.0045,297.75522,90,6.301782978723404,0
1204.8334,297.84717,91,6.371802789598108,0
1204.8727,297.73694,92,6.441822600472813,0
1204.6595,297.74887,93,6.5118424113475175,0
1204.482,297.64166,94,6.581862222222222,0
1204.4749,297.76196,95,6.651882033096927,0
1204.4556,297.73544,96,6.721901843971631,0
