X,Y
1737.9998080057703,652.9977684502956
1737.8689333498478,653.1375916004181
1737.8656294047832,653.193255096674
1738.0643271133304,653.2716195583344
1738.1441677212715,653.4867829978466
1738.3174104690552,653.3547187447548
1738.534039258957,653.3398565649986
1738.6506187319756,653.1730125844479
1738.9290930777788,653.3046844899654
1739.0304860062897,653.2676648795605
1739.4492600560188,653.2578230202198
1739.3178396821022,653.2315380722284
1739.505821377039,653.1764689236879
1739.4579664170742,653.2657617926598
1739.6512639522552,653.1191023439169
1739.633998990059,653.0548018626869
1739.9929734105244,653.1500010639429
1739.8169702291489,653.0337992012501
1739.9336796104908,653.0863257423043
1740.0203666761518,653.2345158457756
1740.2809242904186,653.1847706586123
1740.3618669509888,652.9874102780595
1740.3190876245499,653.1157996505499
1740.4439502060413,653.1705871224403
1740.6560907065868,653.0205249283463
1740.781577333808,652.9470220692456
1740.8817118480802,653.204501748085
1740.9253055751324,653.0302973296493
1740.5465054810047,652.9538715071976
1740.629234701395,652.9780748020858
1740.841231584549,653.015188430436
1741.3198026418686,652.9449034333229
1741.1334832161665,653.1497451514006
1741.0984823554754,653.0962418243289
1741.336238771677,653.0387311577797
1741.3851804733276,653.1579274088144
1741.2578403055668,653.078560680151
1741.2848584651947,653.1586889326572
1741.3554992973804,652.9367460981011
1741.3882804512978,652.9268971905112
1741.3110826015472,653.0182408783585
1741.3895367085934,653.0351357534528
1741.551361232996,652.7327636778355
1741.4316956102848,653.1379978358746
1741.77722504735,653.0304959379137
1741.522187501192,652.7820166647434
1741.8212509900331,652.7640475332737
1741.7051253914833,653.0982577204704
1741.8028029352427,652.8607947677374
1741.78028100729,652.935027487576
1741.9034616202116,653.0619764216244
1742.2184143811464,652.8880304843187
1742.3178837895393,653.0271349288523
1742.0770491883159,653.0478194504976
1742.3700702786446,653.1842625886202
1742.496728092432,653.1061564981937
1742.3571707308292,653.0004726843035
1742.2953380346298,653.0873687639832
1742.5941249728203,652.8820719644427
1742.5005217790604,653.0594768077135
1742.6261895000935,652.9226183444262
1742.4733369350433,653.0233194641769
1742.7826778143644,652.9380773231387
1742.7905604243279,652.962520968169
1742.608963817358,652.8503035753965
1742.7257705926895,653.0258836280555
1737.9072079062462,652.9228942766786
1728.569882273674,652.7530190199614
1725.5822566747665,652.9260299056768
1724.7700131386518,652.9571248888969
1724.3951495289803,653.1025120019913
1724.2132917046547,653.100216910243
1724.3715890347958,652.957264918834
1724.258445739746,652.8055412471294
1724.083833038807,652.890806697309
1724.1241528317332,652.7539290338755
1724.3788947761059,652.9805741440505
1724.2096353322268,653.0152917159721
1724.1186218038201,652.9004237279296
1724.2389825880527,652.8438434302807
1723.8859160915017,652.818759188056
1724.1969656050205,652.927011013031
1724.3459812402725,652.9859338076785
1724.2878731787205,652.8062280118465
1724.2962559461594,652.7564804106951
1724.511971950531,652.6616268754005
1724.4399050474167,652.7137633860111
1724.1927520930767,652.7507948577404
1724.464378297329,652.813581854105
1724.495277762413,652.6944603323936
1724.6205003857613,652.7283487915993
1724.23667819798,652.9037118330598
1724.013579569757,652.7568637281656
1724.2492619156837,652.7166153490543
1724.178350791335,652.7420177459717
1723.948082599789,652.8177826106548
1724.1587872058153,652.9122774899006
1724.0944177135825,652.8859833553433
1724.4638085365295,652.7956062108278
1724.217402845621,652.8141850084066
1724.0811729729176,652.7872571498156
1724.306275933981,652.7516031712294
1723.8575861304998,652.9322824627161
1724.1141535192728,652.7993272691965
1724.1440011411905,652.7130024135113
1724.0539598464966,652.7468598484993
1724.2086988985538,652.8491991907358
1723.9874701192603,652.855640605092
1724.0730993822217,653.0120987482369
1724.0150523772463,652.6967481076717
1723.9638948179781,652.905899733305
1724.2009898126125,652.9331648424268
1724.086532369256,652.7064745128155
1724.2260942459106,652.6113536655903
1723.937786322087,652.8039176911116
1724.2021149843931,652.8311308771372
1724.2166083455086,652.6750481724739
1724.2601486742496,652.7812041789293
1724.2735841572285,652.6828937232494
1724.2941947877407,652.79171910882
1723.9774240851402,652.8569326996803
1724.0505596771836,652.8956558257341
1723.8815374448895,652.7129842638969
1723.9864423414692,652.6878990828991
1723.904643125832,652.7796640247107
1724.248985990882,652.7313198745251
1724.307259887457,652.7867898344994
1724.3177295029163,652.9839615337551
1723.9954250291921,652.8255443125963
1723.8702895194292,652.8446875214577
1724.1789447665215,652.6588772237301
1724.0582935549319,652.6382720768452
1724.3553811013699,652.7291651964188
1724.1263477802277,652.6634938716888
1724.0017492765328,652.6387204825878
1724.2088271677494,652.7461295425892
1724.0386371463537,652.5430196225643
1723.818401530385,652.8389604538679
1723.5904611349106,652.8284933269024
1723.8083114624023,652.8480586409569
1723.944355994463,653.0542020834982
1721.8789207488298,653.0703523829579
1710.6995254456997,652.7601136863232
1706.4917934834957,652.849351555109
1705.2934238016605,652.7518826425076
1705.0323882810771,652.7114094793797
1704.5047651529312,652.5928749740124
1704.2971933484077,652.81651866436
1704.549390643835,652.7353493869305
1704.4443219006062,652.6629796922207
1704.6250492930412,652.6750988066196
1704.4888570606709,652.8731489777565
1704.3116776049137,652.8252658694983
1704.2878898382187,652.9423363283277
1704.314001172781,652.9191598892212
1704.2097888290882,653.0079828957096
1704.101880080998,652.8803196102381
1703.931790433824,652.5920521914959
1703.996558178449,652.770155608654
1703.9425185136497,652.6254181563854
1703.884742088616,652.7426256835461
1703.735630452633,652.7910352349281
1704.0742896646261,652.8995118513703
1703.9086639732122,652.7966550737619
1703.8249099552631,652.9058724418283
1703.8039151877165,652.77724853158
1704.0334297530353,652.6948168575764
1704.0315597839653,652.7604714334011
1704.0331991016865,653.0846957489848
1704.0636575520039,652.8686218112707
1703.6837041378021,652.7533255368471
1703.8478822559118,652.7202737629414
1703.7522484660149,652.6888212859631
1703.9137095734477,652.5901899337769
1703.611800044775,652.6546058952808
1703.7495805323124,652.6941273808479
1703.7031941711903,652.7430599927902
1703.6115527749062,652.7994059175253
1703.560053884983,652.8089725077152
1703.5874561965466,652.5712948739529
1703.610548466444,652.6309942007065
1703.4530009627342,652.7691099196672
1703.4816698729992,652.684677541256
1703.7224251925945,652.4387845396996
1703.6797994673252,652.6245440840721
1703.6225158572197,652.5729778409004
1703.7996360361576,652.4533984065056
1703.8124497830868,652.3519832491875
1703.8566665053368,652.5773293077946
1703.7645778506994,652.3247117698193
1703.562100380659,652.6242687404156
1703.6737409234047,652.6264685988426
1703.8581003546715,652.6256128251553
1703.6449173092842,652.544303715229
1703.6462177932262,652.7740341424942
1703.587863355875,652.821739256382
1703.650633007288,652.7232434749603
1703.4272634088993,652.7867355793715
1703.886814750731,652.831830099225
1703.7102233469486,652.7096721827984
1703.8806590512395,652.6050598323345
1703.787406206131,652.7964258939028
1703.6858743429184,652.6210208535194
1703.8738875091076,652.3396489322186
1703.673485994339,652.6050637662411
1703.6997458040714,652.5956300497055
1703.9781465828419,652.6143942177296
1703.680665254593,652.6224953830242
1703.7074272334576,652.7142876982689
1703.9344910010695,652.5375815033913
1703.7654096782207,652.717397838831
1703.7366720438004,652.8194662183523
1703.8126557767391,652.9344782680273
1703.9313579127192,652.8168542683125
1703.7888198196888,652.7350986301899
1703.773869022727,652.614114522934
1703.4766568243504,652.7314730882645
1693.0609605908394,652.7293266355991
1686.64766523242,652.7292235195637
1684.7886401116848,652.5507753789425
1684.2342284321785,652.5853587687016
1683.9620256498456,652.6077395677567
1683.5803602039814,652.5387471020222
1683.9166181087494,652.3991133570671
1683.8393347412348,652.3779672086239
1683.5439791083336,652.3803678750992
1683.7064696252346,652.2924628555775
1683.7721063941717,652.3138487935066
1683.4482496976852,652.6627506613731
1683.1245520189404,652.6016204059124
1683.1136029809713,652.6151797771454
1683.239762365818,652.524345099926
1683.358327716589,652.3750291466713
1683.1641979813576,652.5402148663998
1683.2381675094366,652.6264715790749
1683.2483968883753,652.5474605858326
1683.3434228599072,652.6457998752594
1683.312564611435,652.5338179171085
1683.3415431976318,652.4907722473145
1683.1005407720804,652.4731934964657
1683.360020160675,652.3987266719341
1683.0512743853033,652.5446496903896
1683.3194310367107,652.3789547085762
1683.3145477473736,652.4317879676819
1683.2689451873302,652.4792368412018
1683.1514927446842,652.40314412117
1682.8868350833654,652.3591892421246
1682.8744786083698,652.3447895050049
1682.8392847031355,652.4245247840881
1683.1863778233528,652.3603046834469
1683.1544439196587,652.2664598226547
1683.2599745690823,652.3377853929996
1683.3440192639828,652.4854812324047
1683.502513796091,652.357186704874
1682.9872277546674,652.6027714014053
1682.9501412808895,652.6440514028072
1683.0306719839573,652.6625137329102
1683.0941420793533,652.6231411993504
1682.9341543912888,652.6851722598076
1683.0178623553365,652.8060135394335
1683.0660088732839,652.5803977251053
1682.7755859792233,652.5899812579155
1683.0267668347806,652.4632986187935
1683.1764586567879,652.304357945919
1683.0158735476434,652.506131529808
1683.1164325624704,652.5650661289692
1683.247628763318,652.3647419214249
1683.2079639136791,652.3152162730694
1683.2516660392284,652.3127798140049
1683.0233654771,652.5167809128761
1682.7928859889507,652.5580621957779
1683.0795362889767,652.4626826643944
1682.9270353391767,652.508565813303
1682.9259001165628,652.4977943599224
1682.7736906558275,652.5086772143841
1683.1055517047644,652.6008742153645
1683.0365504920483,652.5774929225445
1682.9477999471128,652.6324581503868
1682.7950763702393,652.682148784399
1683.300990909338,652.4537402689457
1683.2294824421406,652.287926286459
1683.0313806422055,652.3641697466373
1682.9682587757707,652.3275075852871
1683.1122681051493,652.4321478009224
1683.217346265912,652.4811247587204
1682.7768122702837,652.6003866493702
1682.9451646208763,652.3338328301907
1682.8728185147047,652.4570424258709
1682.7442825734615,652.534569978714
1683.1653898060322,652.4971147179604
1683.072192966938,652.3665566444397
1683.1339964270592,652.2103426605463
1676.3077446222305,652.3486548066139
1667.099491916597,652.0842041894794
1663.687232285738,652.1080474257469
1662.7079683244228,651.9823192823678
1662.24837115407,652.1481703817844
1662.0215148106217,652.0836007893085
1661.9394721090794,652.0561659149826
1661.5617822408676,652.1218603998423
1661.7560015767813,651.9533400349319
1661.8055339157581,652.0326455458999
1661.5447280704975,652.0685363635421
1661.586750537157,652.0590068250895
1661.70889544487,652.1890657395124
1661.248724207282,652.1563322544098
1661.5742955505848,652.0816825553775
1661.4276691377163,651.979015501216
1661.0654521211982,651.9764944966882
1661.0924789607525,651.7487930655479
1660.9462994039059,652.0129525968805
1661.5234304070473,652.0780295431614
1661.1123054400086,652.1073003485799
1661.069632343948,652.1821489185095
1661.155946612358,652.1606269180775
1661.2939305603504,651.970203038305
1661.2637782990932,651.9126342609525
1661.1527409255505,651.7958718985319
1661.4416218400002,652.2713404595852
1660.9666220098734,652.1391926705837
1660.887363627553,651.8445603251457
1660.9730905685574,652.0356819741428
1661.1723069399595,652.0523084662855
1660.9122286736965,651.9542317204177
1660.6658928990364,651.7828583270311
1661.0370738208294,651.9556513018906
1660.7465146780014,651.6325280368328
1661.2506364881992,651.439701706171
1660.6671148240566,651.6860208511353
1660.7276793122292,651.6226053535938
1660.644461542368,651.7868939340115
1660.825163513422,652.0039116796106
1660.6141988933086,651.7653451710939
1660.6830057501793,651.7871687412262
1660.6889909505844,651.7207222282887
1660.5716539919376,651.7214680016041
1660.6412126719952,651.5413970053196
1660.9145995453,651.6997581720352
1661.0514088347554,651.9006232246757
1660.6327107846737,651.7955037504435
1660.8994451984763,651.7539584189653
1660.8102841228247,651.7515834420919
1660.8907155320048,651.670526355505
1660.5927187800407,651.7236454188824
1660.7427537739277,651.7414283454418
1660.7460237145424,651.9600310325623
1660.7338586449623,651.8996224701405
1660.805174589157,652.0339943133295
1660.642388522625,651.8856334239244
1661.2353785932064,651.9254909008741
1661.362744808197,652.0111673111096
1661.0309712551534,652.0546584241092
1661.1406808793545,652.0697001442313
1660.967567756772,651.877078473568
1660.8959755524993,651.7867837399244
1660.8068045824766,651.7421722710133
1660.638596445322,651.5500743091106
1661.0911359339952,651.5295115113258
1661.030420674011,651.4811296761036
1660.801949903369,651.4634703993797
1660.7952683717012,651.5319297015667
1660.948050312698,651.6869955658913
1660.7978481203318,651.5746750831604
1660.442938953638,651.5801011919975
1660.6419242918491,651.7829103916883
1660.2609229385853,651.8573516309261
1660.6549794375896,651.6109969317913
1657.6761386096478,651.4107248783112
1646.1008506268263,651.632218003273
1641.8962254971266,651.3394770622253
1640.4346589446068,651.3380941748619
1639.8567254245281,651.2944284975529
1639.3432184159756,651.3800076544285
1639.2669522464275,651.2644609212875
1638.946437831968,651.3674821555614
1638.926985360682,651.4445005953312
1639.0218219850212,651.4657878875732
1638.4822684526443,651.6058306097984
1638.5537842810154,651.4249012172222
1638.2447668761015,651.7122709751129
1638.2682448029518,651.4210147559643
1638.413387954235,651.388297945261
1638.3283806145191,651.4348213672638
1638.418088823557,651.4876688420773
1638.4093258678913,651.3598174154758
1638.4736524224281,651.4543096125126
1638.3133306205273,651.4329210817814
1637.9334719926119,651.5604549050331
1638.0982540622354,651.4692372977734
1637.9735263418406,651.6470047235489
1638.0890162661672,651.6480602920055
1637.7752783745527,651.6181564927101
1637.6153128445148,651.6548246145248
1637.615299642086,651.5373968183994
1637.5907191336155,651.4436354637146
1637.3822490274906,651.5832335948944
1637.4396672844887,651.7650099247694
1637.460454672575,651.646430760622
1637.5806835591793,651.3994035720825
1637.2606862485409,651.5445113480091
1637.3837656974792,651.4735179543495
1637.5564903318882,651.2963606417179
1637.4519692361355,651.473721832037
1637.689904421568,651.2302191853523
1637.7810874730349,651.4141821861267
1637.608979523182,651.2651413977146
1637.4196656942368,651.4485643804073
1637.425579816103,651.339131206274
1637.5081737935543,651.342441290617
1637.1153932586312,651.6087238192558
1637.0860396176577,651.5180405676365
1637.1016194224358,651.6709568500519
1637.1243456751108,651.6995993852615
1636.9669161699712,651.64056879282
1637.1207805424929,651.64975091815
1637.2829593718052,651.3950551450253
