Columnas,a,b,c,d
2,0.0002516127168476287,-0.0058024713536212165,0.12660322260563012,0.0007099943122468293
3,0.0002512020092449126,-0.005803658328078346,0.12657833902074617,0.0005887203161025131
4,0.0002711906931569202,-0.006222502505899054,0.12931207226206265,-0.00021943794248879996
5,0.0002533613299450887,-0.0058581610297166915,0.1270432042441224,0.00022764805422017045
6,0.0002498735300427952,-0.0057967371876389085,0.12678205813705273,0.0009275146959530417
7,0.0002563908298991574,-0.005907547877744376,0.1273683645930865,0.00014080357805754985
8,0.00024622191359222295,-0.005717462732376947,0.1263525445909217,0.0011920279240249165
9,0.00024897146380976345,-0.005777501850502414,0.12677567363482944,0.0010479204338559962
10,0.0002383630481747017,-0.0055886894069835935,0.12588145421885027,0.0007263550184071531
11,0.0002465779041929839,-0.005733221486501185,0.12658721816090515,0.00040425086644826913
12,0.00026106939182681427,-0.005962318823740243,0.1274525915247148,0.003638012312896937
15,0.00022723863900786208,-0.005474616594870753,0.1256745968483705,0.000981419543110189
