Fila,a,b,c,d
1,-0.00014369004475107465,0.0017150636900136352,-0.07558211811315504,1.003361142283206
2,-0.00014523996296972666,0.0017528640218511327,-0.07578044669524606,1.0028252885575086
3,-0.0001436104603228146,0.0017146731787005423,-0.07563873748429707,1.0033692192466719
4,-0.00014263759725659087,0.0016956190571630956,-0.07543087777551068,1.0023582232682144
5,-0.0001531696683758221,0.001906919515124067,-0.07660583705120616,1.0028777762364351
6,-0.00014318720428920664,0.0017112648782406888,-0.075616281333835,1.0022395247278766
7,-0.00014613935890047487,0.0017789062733413572,-0.07598801101835263,1.0027865879758888
9,-0.00014580819893033828,0.0017717405007059586,-0.07590807955133339,1.001974060897392
11,-0.00014259912453024986,0.0017167520086173937,-0.0756206428915497,1.0019673000183034
12,-0.0001438591757702762,0.0017434675884645608,-0.07572504155994804,1.0026580682794932
