Fila,a,b,c,d
1,3.166948142230218,-7.292651897481138,-8.771117397988416,39.773465143661646
2,3.2362478884084322,-7.381181673176314,-8.757163240104429,39.71316610476531
3,3.1769136589634734,-7.297530291642472,-8.768956577372858,39.6775451671945
4,3.161968415717454,-7.283036755759799,-8.788265682153304,39.65307046808657
5,3.453376086514386,-7.697520904598506,-8.636482567152152,39.62465075827333
6,3.1809233739770977,-7.288623969629753,-8.792727493647797,39.5555720754826
7,3.2824709724728796,-7.429218397036902,-8.75194675397908,39.49912300968076
9,3.2832800533785917,-7.429797627914502,-8.760432267805205,39.41325859431737
11,3.2004298458949467,-7.299018118578307,-8.82402812585476,39.316539720448645
12,3.2406031935214665,-7.367954430915153,-8.795929188379032,39.26647420901729
