,Dcx,Dcy
0,0.12581953729104492,0.13070871754462912
1,0.13818193958651925,0.13023895485658424
2,0.15037300079766613,0.1297689329809879
3,0.16240281770384263,0.12929865130051324
4,0.17428062925609578,0.12882810919560575
5,0.18601491691457306,0.1283573060444722
6,0.1976134904479148,0.127886241223069
7,0.2090835616901307,0.1274149141050905
8,0.22043180825966532,0.1269433240619577
9,0.23166442886266386,0.12647147046280618
10,0.24278719150165148,0.1259993526744746
11,0.2538054756726179,0.12552697006149252
12,0.26472430944350445,0.12505432198606878
13,0.27554840215454734,0.12458140780807928
14,0.2862821733576835,0.12410822688505482
15,0.2969297785120628,0.12363477857216922
16,0.3074951318708477,0.12316106222222666
17,0.3179819269272207,0.12268707718564949
18,0.32839365473197935,0.12221282281046593
19,0.3387336203490157,0.12173829844229739
20,0.34900495767656886,0.12126350342434594
21,0.3592106428299838,0.12078843709738152
22,0.3693535062546892,0.12031309879972932
23,0.3794362437152966,0.11983748786725683
24,0.3894614262874101,0.11936160363336086
25,0.3994315094623146,0.11888544542895477
26,0.40934884146070266,0.11840901258245491
27,0.41921567083961625,0.11793230441976771
28,0.4290341534664888,0.11745532026427645
29,0.4388063589253117,0.11697805943682754
30,0.448534276412301,0.11650052125571746
31,0.4582198201718116,0.11602270503667877
32,0.46786483451749633,0.11554461009286676
33,0.4774710984786998,0.11506623573484556
34,0.48704033010770725,0.11458758127057424
35,0.49657419047964974,0.114108646005393
36,0.5060742874135159,0.11362942924200908
37,0.5155421789397812,0.11314993028048248
38,0.5249793765375749,0.11267014841821191
39,0.5343873481620234,0.11219008294992039
40,0.54376752108039,0.11170973316764077
41,0.5531212845338493,0.1112290983607012
42,0.5624499922401516,0.1107481778157106
43,0.5717549647510249,0.11026697081654381
44,0.5810374916769235,0.10978547664432674
45,0.5902988337906141,0.1093036945774215
46,0.5995402250201035,0.10882162389141137
47,0.6087628743405331,0.10833926385908552
48,0.6179679675738793,0.10785661375042388
49,0.6271566691045923,0.10737367283258166
50,0.6363301235186872,0.10689044036987407
51,0.6454894571732379,0.10640691562376042
52,0.6546357797027277,0.1059230978528288
53,0.6637701854682694,0.10543898631277991
54,0.6728937549553081,0.10495458025641145
55,0.6820075561250769,0.10446987893360186
56,0.6911126457247598,0.10398488159129445
57,0.7002100705610496,0.10349958747348072
58,0.709300868741545,0.10301399582118446
59,0.7183860708882291,0.1025281058724449
60,0.7274667013270907,0.10204191686230038
