X,Y,Frame,Tiempo_seg,fila
1546.0051,483.99615,0,0.0,0
1545.9482,483.91876,1,0.0166666666666666,0
1545.9425,483.91583,2,0.0333333333333333,0
1545.9425,483.9158,3,0.05,0
1545.9425,483.9158,4,0.0666666666666666,0
1545.9425,483.9158,5,0.0833333333333333,0
1546.0154,483.95706,6,0.1,0
1546.0308,483.9728,7,0.1166666666666666,0
1546.0312,483.9732,8,0.1333333333333333,0
1546.0312,483.9732,9,0.15,0
1546.0482,483.9888,10,0.1666666666666666,0
1546.029,483.97485,11,0.1833333333333333,0
1546.029,483.9749,12,0.2,0
1545.887,483.9161,13,0.2166666666666666,0
1545.8865,483.91214,14,0.2333333333333333,0
1545.8962,483.90692,15,0.25,0
1545.8962,483.90692,16,0.2666666666666666,0
1545.8962,483.90692,17,0.2833333333333333,0
1545.8654,483.91626,18,0.3,0
1545.8856,483.90317,19,0.3166666666666666,0
1545.8856,483.90317,20,0.3333333333333333,0
1545.8856,483.90317,21,0.35,0
1545.9688,483.91406,22,0.3666666666666666,0
1545.9661,483.9104,23,0.3833333333333333,0
1545.9661,483.91043,24,0.4,0
1545.9661,483.91043,25,0.4166666666666667,0
1545.9899,483.97482,26,0.4333333333333333,0
1545.988,483.98145,27,0.45,0
1545.9868,483.97122,28,0.4666666666666667,0
1545.9868,483.97122,29,0.4833333333333333,0
1545.9868,483.97122,30,0.5,0
1545.9913,483.9658,31,0.5166666666666667,0
1545.9941,483.9655,32,0.5333333333333333,0
1545.9941,483.96548,33,0.55,0
1545.9222,484.13345,34,0.5666666666666667,0
1545.9169,484.14,35,0.5833333333333334,0
1545.9192,484.13635,36,0.6,0
1545.9192,484.13635,37,0.6166666666666667,0
1545.9192,484.13635,38,0.6333333333333333,0
1545.804,483.98502,39,0.65,0
1545.8032,483.93805,40,0.6666666666666666,0
1545.8046,483.93796,41,0.6833333333333333,0
1545.8046,483.93796,42,0.7,0
1545.8035,484.00745,43,0.7166666666666667,0
1545.8151,484.00888,44,0.7333333333333333,0
1545.8152,484.00894,45,0.75,0
1545.8152,484.00894,46,0.7666666666666667,0
1545.8804,483.9373,47,0.7833333333333333,0
1545.882,483.93628,48,0.8,0
1545.882,483.93628,49,0.8166666666666667,0
1545.882,483.93628,50,0.8333333333333334,0
1545.882,483.93628,51,0.85,0
1545.9982,483.97675,52,0.8666666666666667,0
1545.9945,483.97687,53,0.8833333333333333,0
1545.9945,483.97684,54,0.9,0
1545.9945,483.97684,55,0.9166666666666666,0
1545.9734,483.8581,56,0.9333333333333332,0
1545.9816,483.8493,57,0.95,0
1545.9816,483.84924,58,0.9666666666666668,0
1546.1188,483.869,59,0.9833333333333332,0
1546.1221,483.8675,60,1.0,0
1546.1222,483.8675,61,1.0166666666666666,0
1546.1222,483.8675,62,1.0333333333333334,0
1546.1222,483.8675,63,1.05,0
1546.0776,483.7858,64,1.0666666666666669,0
1545.9779,483.7784,65,1.0833333333333333,0
1545.9779,483.77832,66,1.1,0
1545.9779,483.77832,67,1.1166666666666667,0
1546.0007,483.78943,68,1.1333333333333333,0
1545.9991,483.79312,69,1.15,0
1545.9991,483.7931,70,1.1666666666666667,0
1545.9991,483.7931,71,1.1833333333333331,0
1545.9991,483.7931,72,1.2,0
1546.0397,483.84018,73,1.2166666666666666,0
1546.0653,483.8459,74,1.2333333333333334,0
1546.0654,483.846,75,1.25,0
1546.0654,483.846,76,1.2666666666666666,0
1546.1943,483.89288,77,1.2833333333333334,0
1546.2323,483.83777,78,1.3,0
1546.2335,483.83636,79,1.3166666666666669,0
1546.2335,483.83636,80,1.3333333333333333,0
1546.2828,483.76697,81,1.35,0
1546.2811,483.7658,82,1.3666666666666667,0
1546.2812,483.7658,83,1.3833333333333333,0
1546.2812,483.76575,84,1.4,0
1546.3468,483.68954,85,1.4166666666666667,0
1546.2698,483.67996,86,1.4333333333333331,0
1546.2666,483.68024,87,1.45,0
1546.2666,483.68024,88,1.4666666666666666,0
1546.2445,483.72888,89,1.4833333333333334,0
1546.2388,483.72638,90,1.5,0
1546.2389,483.72635,91,1.5166666666666666,0
1546.2389,483.72635,92,1.5333333333333334,0
1546.2389,483.72635,93,1.55,0
1546.2202,483.83167,94,1.5666666666666669,0
1546.2203,483.83234,95,1.5833333333333333,0
1546.2203,483.8322,96,1.6,0
1546.2203,483.8322,97,1.6166666666666667,0
1546.292,483.75537,98,1.6333333333333333,0
1546.2919,483.76028,99,1.65,0
1546.2917,483.7603,100,1.6666666666666667,0
1546.2917,483.7603,101,1.6833333333333331,0
1546.2692,483.73602,102,1.7,0
1546.263,483.7386,103,1.7166666666666666,0
1546.2606,483.7383,104,1.7333333333333334,0
1546.2606,483.7383,105,1.75,0
1546.2622,483.8802,106,1.7666666666666666,0
1546.2621,483.88013,107,1.7833333333333334,0
1546.2621,483.88013,108,1.8,0
1546.2621,483.88013,109,1.8166666666666669,0
1546.4337,483.71753,110,1.8333333333333333,0
1546.4402,483.7153,111,1.85,0
1546.4402,483.7153,112,1.8666666666666667,0
1546.4402,483.7153,113,1.8833333333333333,0
1546.3236,483.66864,114,1.9,0
1546.3214,483.6774,115,1.9166666666666667,0
1546.3214,483.6774,116,1.9333333333333331,0
1546.3214,483.6774,117,1.95,0
1546.3214,483.6774,118,1.9666666666666663,0
1546.5491,483.67197,119,1.9833333333333332,0
1546.4757,483.70496,120,2.0,0
1546.4758,483.70496,121,2.0166666666666666,0
1546.4758,483.70496,122,2.033333333333333,0
1546.3872,483.64188,123,2.05,0
1546.3894,483.64075,124,2.066666666666667,0
1546.3928,483.63947,125,2.083333333333333,0
1546.383,483.64343,126,2.1,0
1546.383,483.64343,127,2.1166666666666667,0
1546.3484,483.67123,128,2.1333333333333333,0
1546.3243,483.61023,129,2.15,0
1546.3245,483.61017,130,2.1666666666666665,0
1546.4153,483.69073,131,2.183333333333333,0
1546.4058,483.68634,132,2.2,0
1546.4058,483.6873,133,2.216666666666667,0
1546.4058,483.68713,134,2.2333333333333334,0
1546.4004,483.62662,135,2.25,0
1546.4014,483.62177,136,2.2666666666666666,0
