X,Y,Frame,Tiempo_seg,columna
1487.0010986328125,453.9995727539063,0,0.0,0
1486.9329833984375,453.95648193359375,1,0.0700180386316454,0
1486.897216796875,454.04498291015625,2,0.1400360772632909,0
1486.99169921875,454.024658203125,3,0.2100541158949363,0
1486.9287109375,453.9604797363281,4,0.2800721545265818,0
1486.998779296875,453.9811706542969,5,0.3500901931582273,0
1487.048828125,453.9681701660156,6,0.4201082317898727,0
1486.9652099609375,453.9538269042969,7,0.4901262704215182,0
1486.9439697265625,454.0205078125,8,0.5601443090531637,0
1487.0093994140625,453.9690551757813,9,0.6301623476848092,0
1487.008056640625,454.0134887695313,10,0.7001803863164546,0
1486.88720703125,454.1285400390625,11,0.7701984249481001,0
1486.9334716796875,454.0498046875,12,0.8402164635797454,0
1486.9700927734375,454.0338134765625,13,0.9102345022113908,0
1487.0430908203125,454.02783203125,14,0.9802525408430364,0
1487.0203857421875,454.0152893066406,15,1.0502705794746818,0
1486.9569091796875,454.0551452636719,16,1.1202886181063274,0
1487.029296875,454.08294677734375,17,1.1903066567379728,0
1487.0279541015625,453.96826171875,18,1.2603246953696183,0
1486.9664306640625,454.1086120605469,19,1.3303427340012637,0
1486.9853515625,454.0613708496094,20,1.4003607726329093,0
1486.995361328125,453.986572265625,21,1.4703788112645546,0
1486.9688720703125,454.0611267089844,22,1.5403968498962002,0
1486.8583984375,454.1287231445313,23,1.6104148885278455,0
1486.9146728515625,454.0831604003906,24,1.6804329271594909,0
1486.9794921875,454.2445373535156,25,1.7504509657911365,0
1486.9107666015625,454.2442626953125,26,1.8204690044227816,0
1487.0009765625,454.22796630859375,27,1.8904870430544276,0
1486.9129638671875,454.2087707519531,28,1.9605050816860727,0
1487.0091552734375,454.255615234375,29,2.030523120317718,0
1487.11767578125,454.2279968261719,30,2.100541158949364,0
1487.228515625,454.22210693359375,31,2.170559197581009,0
1487.1552734375,454.1652221679688,32,2.240577236212655,0
1487.0382080078125,454.2311401367188,33,2.3105952748443,0
1487.0804443359375,454.1872253417969,34,2.380613313475945,0
1486.975341796875,454.075439453125,35,2.450631352107591,0
1486.947021484375,454.0225524902344,36,2.5206493907392367,0
1486.7659912109375,454.1091918945313,37,2.590667429370882,0
1486.7857666015625,453.9166870117188,38,2.660685468002528,0
1486.82080078125,453.9743347167969,39,2.730703506634173,0
1486.866455078125,453.8997802734375,40,2.8007215452658185,0
1486.931884765625,453.7396545410156,41,2.870739583897464,0
1486.9541015625,453.7845764160156,42,2.940757622529109,0
1486.9833984375,453.7888488769531,43,3.010775661160755,0
1487.05224609375,453.7680358886719,44,3.0807936997924004,0
1487.0814208984375,453.6646728515625,45,3.150811738424045,0
1487.10107421875,453.6592712402344,46,3.220829777055691,0
1487.1741943359375,453.6314392089844,47,3.2908478156873366,0
1487.2449951171875,453.6938781738281,48,3.3608658543189818,0
1487.2288818359375,453.5743408203125,49,3.430883892950628,0
1487.224609375,453.6726379394531,50,3.500901931582273,0
1487.2161865234375,453.6077880859375,51,3.5709199702139185,0
1487.2362060546875,453.7955932617188,52,3.640938008845564,0
1487.278076171875,453.72265625,53,3.710956047477209,0
1487.2261962890625,453.7710266113281,54,3.780974086108855,0
1487.258544921875,453.7688598632813,55,3.8509921247405,0
1487.358154296875,453.7416687011719,56,3.9210101633721455,0
1485.906005859375,473.7763671875,61,4.271100356530373,0
1485.84375,473.8179016113281,62,4.3411183951620185,0
1485.65087890625,473.80267333984375,63,4.411136433793664,0
1485.6392822265625,474.0256042480469,64,4.48115447242531,0
1485.484130859375,473.9839782714844,65,4.551172511056955,0
1485.4781494140625,474.0704040527344,66,4.6211905496886,0
1485.651611328125,474.2322082519531,67,4.6912085883202455,0
1485.638427734375,474.1104736328125,68,4.761226626951891,0
1485.607421875,474.13861083984375,69,4.831244665583537,0
