X,Y,Frame,Tiempo_seg
1268.0010986328125,551.000244140625,0,0.0
1268.10986328125,551.0682983398438,1,0.07001435119329856
1268.0277099609375,551.0023803710938,2,0.14002870238659712
1268.1568603515625,550.8115234375,3,0.21004305357989567
1267.9779052734375,550.9844360351562,4,0.28005740477319424
1268.1397705078125,551.10107421875,5,0.3500717559664928
1268.1954345703125,550.8616333007812,6,0.42008610715979133
1268.034423828125,550.9010009765625,7,0.4901004583530899
1268.2432861328125,550.8798828125,8,0.5601148095463885
1268.25830078125,550.8932495117188,9,0.630129160739687
1268.2747802734375,550.9534301757812,10,0.7001435119329856
1268.082763671875,550.8305053710938,11,0.7701578631262841
1268.6602783203125,550.987548828125,12,0.8401722143195827
1268.302734375,550.9249267578125,13,0.9101865655128812
1268.2200927734375,550.794677734375,14,0.9802009167061798
1268.283447265625,550.7891845703125,15,1.0502152678994783
1268.2919921875,550.8246459960938,16,1.120229619092777
1268.303466796875,550.7862548828125,17,1.1902439702860754
1268.330322265625,550.6026611328125,18,1.260258321479374
1268.416748046875,550.7139892578125,19,1.3302726726726726
1268.4144287109375,550.777099609375,20,1.4002870238659713
1268.4669189453125,550.7723999023438,21,1.4703013750592697
1268.3736572265625,550.7595825195312,22,1.5403157262525682
1268.7138671875,550.7931518554688,23,1.6103300774458669
1268.61474609375,550.8186645507812,24,1.6803444286391653
1268.28955078125,550.935302734375,25,1.750358779832464
1268.56103515625,550.83203125,26,1.8203731310257625
1268.70166015625,550.7183227539062,27,1.8903874822190612
1268.60498046875,550.7979125976562,28,1.9604018334123596
1268.4698486328125,550.769775390625,29,2.030416184605658
1268.44921875,550.9337158203125,30,2.1004305357989566
1268.480224609375,550.896728515625,31,2.1704448869922555
1268.444580078125,550.7734375,32,2.240459238185554
1268.57421875,550.8209838867188,33,2.3104735893788524
1268.544189453125,550.8040771484375,34,2.380487940572151
1268.3758544921875,550.6815185546875,35,2.4505022917654498
1268.61279296875,550.5706176757812,36,2.520516642958748
1268.62890625,550.6360473632812,37,2.5905309941520467
1268.505615234375,550.7080078125,38,2.660545345345345
1268.4893798828125,550.8566284179688,39,2.7305596965386436
1268.98193359375,551.2264404296875,40,2.8005740477319425
1268.4500732421875,550.8110961914062,41,2.870588398925241
1269.3494873046875,550.66650390625,42,2.9406027501185394
1268.716552734375,550.5850830078125,43,3.010617101311838
1269.0660400390625,550.5748901367188,44,3.0806314525051364
1268.6171875,550.6728515625,45,3.1506458036984353
1268.366455078125,550.5772705078125,46,3.2206601548917337
1268.8231201171875,550.6615600585938,47,3.290674506085032
1268.6939697265625,550.6007690429688,48,3.3606888572783307
1268.7822265625,550.546630859375,49,3.4307032084716296
1268.785888671875,550.4262084960938,50,3.500717559664928
1266.9053955078125,550.4052734375,51,3.5707319108582265
1257.890380859375,549.9144897460938,52,3.640746262051525
1245.80810546875,549.2574462890625,53,3.7107606132448234
1232.4744873046875,548.8333740234375,54,3.7807749644381223
1219.87548828125,548.453369140625,55,3.850789315631421
1206.958740234375,547.6103515625,56,3.9208036668247193
1193.8345947265625,547.1778564453125,57,3.9908180180180177
